text_id	text	task_1	task_2	task_3
hasoc_en_1	DhoniKeepsTheGlove | WATCH: Sports Minister Kiren Rijiju issues statement backing MS Dhoni over 'Balidaan Badge', tells BCCI to take up the matter with ICC and keep government in the know as nation's pride is involved [URL]	NOT	NONE	NONE
hasoc_en_2	[USER] No. We should remember very clearly that Individual1 just admitted to treason . TrumpIsATraitor McCainsAHero JohnMcCainDay	HOF	HATE	TIN
hasoc_en_3	[USER] Guess who would be the winner of this CWC19? Team who gets maximum points from the abandoned matches 😄 ShameOnICC WIvsENG [USER]	NOT	NONE	NONE
hasoc_en_4	Corbyn is too politically intellectual for BorisJohnsonShouldNotBePM Can't wait GeneralElectionNow [URL]	NOT	NONE	NONE
hasoc_en_5	All the best to TeamIndia for another swimming competition on Sunday against Pakistan. INDvPAK ShameOnICC CWC19 CWC19Rains ☔☔ [URL]	NOT	NONE	NONE
hasoc_en_6	[USER] [USER] I hope you remembered to wipe the blood off of you, after the pic was taken. bloodonhishands murderer	NOT	NONE	NONE
hasoc_en_7	[USER] Latest design of WC2019 trophy. CWC2019 CWC19 ShameOnICC [URL]	NOT	NONE	NONE
hasoc_en_8	ADOS trendingnow blacklivesmatter justice fucktrump 'Central Park Five' Prosecutor Elizabeth Lederer Out at Columbia Law School [URL]	HOF	PRFN	TIN
hasoc_en_9	Thanks for your support! Wow 600k. Graffiti has a massive impact nowadays, do not forget to show your own opinion! AllColorsAreBeautiful PowerToThePeople FuckRacism FuckTrump MakeLoveNotWar... [URL]	NOT	NONE	NONE
hasoc_en_10	By wearing the BalidaanBadge over his gloves [USER] has shown his love & respect for the forces. [USER] should understand that this is not related to any political/religious/racial activities This is about our NationalPride DhoniKeepsTheGlove	NOT	NONE	NONE
hasoc_en_11	Mahendra Singh Dhoni's love for the Nation, Armed Forces and Soldiers has been intact which is truly commendable. He is Nation's Hero. No one represents our Country better than him. I stand with [USER] DhoniKeepsTheGlove DhoniKeSaathDesh IndiaWithDhoni [URL]	NOT	NONE	NONE
hasoc_en_12	I don't know how much more I can take! 45 is a compulsive liar! Trump30Hours TrumpIsATraitor	HOF	HATE	TIN
hasoc_en_13	ShameOnICC[USER] WINNER TEAM-RAIN ICC RUN UP TEAM-RAIN ICC MAN OF THE MATCH-RAIN ICC MAN OF THE SERIES-RAIN BEST BOWLER-RAIN BEST WICKETKEPER-RAIN [URL]	NOT	NONE	NONE
hasoc_en_14	[USER] [USER] [USER] [USER] [USER] [USER] Grevious assault on jr doctors in all medical colleges in WB. No action being taken for safety security and justice. PM sir please intervene asap. Savethedoctors DoctorsFightBack	NOT	NONE	NONE
hasoc_en_15	ICC denies request from BCCI to allow MSD wear gloves with Army insignia. [USER] [USER] DhoniKeepTheGlove DhoniKeepsTheGlove	NOT	NONE	NONE
hasoc_en_16	Good work [USER] keep going just destroy the whole fucking world cup ShameOnICC [URL]	HOF	PRFN	TIN
hasoc_en_17	Wow, you're full of it [USER] BorisJohnsonShouldNotBePM KickThemOut [URL]	NOT	NONE	NONE
hasoc_en_18	All Indian spectators shd hv BalidanBadge in ground, DhoniKeepsTheGlove DhoniKeepBalidaanBadgeGlove DhoniKeepsTheGlove DhoniKeSathDesh	NOT	NONE	NONE
hasoc_en_19	[USER] [USER] What about Virat Kholi tattoos 😂😂 DhoniKeepsTheGlove [URL]	NOT	NONE	NONE
hasoc_en_20	Which is more important? IndiaWithDhoni DhoniKeepsTheGlove [URL]	NOT	NONE	NONE
hasoc_en_21	[USER] [USER] [USER] [USER] [USER] [USER] [USER] is gonna crash. Douchebag	NOT	NONE	NONE
hasoc_en_22	Harbor N Bay Mens Boxer Short Pack of 2 [USER] Rs.299 [URL] DoctorsFightBack SaveBengal amazon flipkart deals dealoftheday amazingdeals offers discount JaiShreeRam ModiForAll	NOT	NONE	NONE
hasoc_en_23	ICC turns down BCCI's request to allow [USER] to continue wearing the army insignia on his wicket-keeping gloves; ICC says regulations for ICC events do not permit any individual message or logo to be displayed on any items of clothing or equipment. DhoniKeepsTheGlove [URL]	NOT	NONE	NONE
hasoc_en_24	ShameOnICC 1. ICC on Dhoni's gloves Vs 2.ICC planning the World Cup [URL]	HOF	HATE	TIN
hasoc_en_25	Senior Doctors of RGKar greeted with applause & ovation by JuniorDoctors after they came back submitting Resignation. Hear them. This is not orchestrated. This is not paid stunt. These are docs mass-resigning in protest. DoctorsFightBack SaveTheDoctors IstandwithNRS [URL]	NOT	NONE	NONE
hasoc_en_26	Empty podiums make too much noise ToryLeadershipDebate UKPM BorisJohnsonShouldNotBePM Leadersdebate GTTO JC4PM2019 frightnight [URL]	NOT	NONE	NONE
hasoc_en_27	ShameOnICC iccworldcup2019 world cup reality [URL]	NOT	NONE	NONE
hasoc_en_28	Disgusting! And they don't change their culture or come up with vetting system or preventative ways to stop this from occurring. This will continue to happen. The Catholic Church needs to go! rapist ChildTrafficking CatholicChurch CatholicTwitter [URL]	HOF	HATE	TIN
hasoc_en_29	GOQii VITAL - Colour Display Blood Pressure Monitor [USER] Rs.1999 (mrp-3499) [URL] DoctorsFightBack SaveBengal amazon flipkart deals dealoftheday amazingdeals offers discount JaiShreeRam ModiForAll	NOT	NONE	NONE
hasoc_en_30	500 doctors have already resigned in Bengal. NRS 100 SSKM 175 National medical college 20 RG Kar 126 North Bengal college 119 Murshidabad 50 Rampurhat 37 Burdwan 26 DoctorsFightBack SaveTheDoctors	NOT	NONE	NONE
hasoc_en_31	Hi everyone, I'm in Kolkata and just thought I'd let you know about some crazy goings on in the medical world here, which has become front page news. Recent years have seen a rise in violence against doctors, often the most junior. DoctorsFightBack [URL]	NOT	NONE	NONE
hasoc_en_32	[USER] [USER] [USER] Worst ever world cup arrangement in cricket history ShameOnICC ShameOnEngland WC2019 No swimming pool, gym in hotel. EnglishBeggers RoyalBeggers	NOT	NONE	NONE
hasoc_en_33	[USER] fuck you and go fuck yourself you piece of shit someone get this asshole a jail cell for his birthday ImpeachTrumpNow fucktrump dickstaindonald DerangedDonald [URL]	HOF	PRFN	TIN
hasoc_en_34	Donald Trump lies. TrumpIsATraitor Happy JohnMcCainDay ! [URL] [URL]	NOT	NONE	NONE
hasoc_en_35	[USER] Of all the retired NFL players, why is it that you DON'T suffer from CTE? You should be at the bottom of a pool you mistook for an elevator. murderer	HOF	HATE	TIN
hasoc_en_36	The Telegraph's use of the word 'crown' with regard to Boris Johnson just says it all. BorisJohnsonShouldNotBePM [URL]	NOT	NONE	NONE
hasoc_en_37	DoctorsFightBack | No doctor wishes to stop emergency services: Dr Sayantan Banerjee, Resident doctor, AIIMS (Relative of assaulted Dr Paribaha Mukherjee) [URL]	NOT	NONE	NONE
hasoc_en_38	[USER] No worries [USER] because there will be on only one winner And that is . . . . . . . . . . . . . . . Rains🤷 ShameOnICC . . . .	NOT	NONE	NONE
hasoc_en_39	Will [USER] score a 100 again today? Predict [USER] [URL] and win prizes. INDvAUS DhoniKeepsTheGlove DhoniAtCWC19 [URL]	NOT	NONE	NONE
hasoc_en_40	DON'T support a country Who has Concentration Camps againts small etnich groups and religions DON'T support the violencie and discrimination 🚫 HumanRights BoycottChina StopRacismo Diversity China EndHate StopViolence [URL]	NOT	NONE	NONE
hasoc_en_41	DhoniKeepsTheGlove[USER] you are zero without dhoni like captain,person... [URL]	NOT	NONE	NONE
hasoc_en_42	[USER] [USER] For interest of puplic she is speaking DoctorsFightBack doctors [USER] MamataBanarjee	NOT	NONE	NONE
