	Sentence	Predicted label	Matched rule
0	[USER] if you made it through this && were not only able to start making money for yourself but sustain living that way all from home, fuck these companies & corporate pigs. power to the people, always.	HOF	['(u_2 / fuck)']
1	Technically that's still turning back the clock, dick head [URL]	HOF	['(u_1 / QUOTEDickQUOTE)']
2	[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] And you're the govt?!?! Stop thinking about world media, liberal gangs or any optics whatsoever and ACT NOW already. If this is what a person at your level is facing then shudder to think the plight of common people in Bengal. BengalBurning	NOT	
3	[USER] Soldier of Japan Who has dick head	HOF	['(u_1 / dick)']
4	[USER] You'd be better off asking who DOESN'T think he's a sleazy shitbag lmao.	NOT	
5	[USER] DICK	NOT	
6	Why to blame only Modi or Government for this Corona mess, when we all are equally responsible. NarendraModi COVIDSecondWaveInIndia coronavirus IndiaCovidCrisis	NOT	
7	The report on [USER] that [USER] filed from India regarding the dire COVID catastrophe was absolutely riveting, devastatingly sad...and some of the best and most important reporting you will see. Do not look away. IndiaCovidCrisis [URL]	NOT	
8	[USER] Sorry we won't, why can't your raise your voice for thousands of people who died due to bed crisis and oxygen. Are you people trying to divert this situation and saving Modi? Resign_PM_Modi this time it won't work out and even bhakths a	NOT	
9	People are dying even in villages where there's just one doctor for the entire village. Loss of livelihoods all around is pushing thousands to poverty every single day. This is dehumanizing. Help in your own capacity as much as you can. No hope in the system. IndiaCovidCrisis	NOT	
10	It is disappointing to see Ohio will give initial vaccine doses to only 1% of residents this week. But total doses (including second doses) administered Wednesday were 93,000. 40.95% have gotten at least one dose. 34.25% have finished. ohio CovidVaccine Covid	NOT	
11	[USER], you are NotMyPrimeMinister anymore. Your egoistic and populistic ways have no place in Delhi. Millions are dying because of your inactions and you are focused on ruining Delhi's heritage. Get out of my city! ResignModi [URL]	NOT	
12	Muslims should help cremate their dead because families too scared to perform the last rites of their loved ones! IndiaCovidCrisis, Dalits & Muslims dona[CUR]™t get respite, in pandemic or without pandemic. They dona[CUR]™t deserve human rights or dignity, forget about acknowledging them!	NOT	
13	yeah when she's finally done w you you wanna pop back into her life fuck off	HOF	['(u_2 / fuck)']
