text	NOT	HOF
[USER] if you made it through this && were not only able to start making money for yourself but sustain living that way all from home, fuck these companies & corporate pigs. power to the people, always.	0.018151684	0.98184836
Technically that's still turning back the clock, dick head [URL]	0.02839526	0.97160476
[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] And you're the govt?!?! Stop thinking about world media, liberal gangs or any optics whatsoever and ACT NOW already. If this is what a person at your level is facing then shudder to think the plight of common people in Bengal. BengalBurning	0.27713138	0.72286856
[USER] Soldier of Japan Who has dick head	0.023221575	0.9767784
[USER] You'd be better off asking who DOESN'T think he's a sleazy shitbag lmao.	0.034060515	0.9659395
[USER] DICK	0.01845055	0.98154944
Why to blame only Modi or Government for this Corona mess, when we all are equally responsible. NarendraModi COVIDSecondWaveInIndia coronavirus IndiaCovidCrisis	0.6185586	0.38144144
The report on [USER] that [USER] filed from India regarding the dire COVID catastrophe was absolutely riveting, devastatingly sad...and some of the best and most important reporting you will see. Do not look away. IndiaCovidCrisis [URL]	0.97515535	0.024844663
[USER] Sorry we won't, why can't your raise your voice for thousands of people who died due to bed crisis and oxygen. Are you people trying to divert this situation and saving Modi? Resign_PM_Modi this time it won't work out and even bhakths a	0.22755454	0.7724455
People are dying even in villages where there's just one doctor for the entire village. Loss of livelihoods all around is pushing thousands to poverty every single day. This is dehumanizing. Help in your own capacity as much as you can. No hope in the system. IndiaCovidCrisis	0.9030496	0.09695043
It is disappointing to see Ohio will give initial vaccine doses to only 1% of residents this week. But total doses (including second doses) administered Wednesday were 93,000. 40.95% have gotten at least one dose. 34.25% have finished. ohio CovidVaccine Covid	0.9639204	0.036079604
[USER], you are NotMyPrimeMinister anymore. Your egoistic and populistic ways have no place in Delhi. Millions are dying because of your inactions and you are focused on ruining Delhi's heritage. Get out of my city! ResignModi [URL]	0.063510805	0.9364892
Muslims should help cremate their dead because families too scared to perform the last rites of their loved ones! IndiaCovidCrisis, Dalits & Muslims dona[CUR]™t get respite, in pandemic or without pandemic. They dona[CUR]™t deserve human rights or dignity, forget about acknowledging them!	0.2905997	0.70940036
yeah when she's finally done w you you wanna pop back into her life fuck off	0.013487817	0.9865122
The situation all around us is extremely painful.I can't albe to see it any more..ppl are loosing their hope. Only God knows when will this all end.God will never forgive anyone who behaves as a opportunistic in this inhumane crisis. wuhanvirus [USER] [USER] [USER]	0.6446786	0.35532138
[USER] [USER] [USER] [USER] [USER] Prove it !!! What evidence you have bloody hell prove kar	0.043123122	0.9568768
now i can't even get my tattoos bc this man is being a cunt ! tf bro 🙄	0.03801997	0.96198
